"","INSEE_COM","Annee","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"56664","33192",2020,275362.36,3503.51,78.56
"56665","33192",2021,290773.79,3774.74,78.46
"56666","33192",2022,288604.1,3875.07,75.71
"56667","33192",2023,286313.05,3925.55,74.28
"56697","33199",2019,342615.38,4031.15,86.02
"56698","33199",2020,348580.53,4132.12,84.68
"56699","33199",2021,410981.1,4551.07,90.99
"56700","33199",2022,438601.79,5148.06,84.59
"56701","33199",2023,434532.6,5407.4,82.63
"56906","33243",2019,165933.48,2147.1,78.07
"56907","33243",2020,173285.84,2269.29,77.48
"56908","33243",2021,203291.9,2511.84,81.9
"56909","33243",2022,225246.03,2722.29,82.75
"56910","33243",2023,209811.04,2705.64,77.33
"56934","33249",2019,194624.17,2608.21,74.25
"56935","33249",2020,189798.67,2644.64,73.31
"56936","33249",2021,220788.19,2847.37,78.72
"56937","33249",2022,219797.92,2894.4,75.93
"56938","33249",2023,200477.81,2860.17,70.65
"57076","33281",2019,263499.96,3436.04,76.48
"57077","33281",2020,278739.24,3678.35,76.21
"57078","33281",2021,302678.42,3870.39,77.82
"57079","33281",2022,297422.92,4049.78,73.7
"57080","33281",2023,289745.01,3940.18,73.13
"57245","33318",2019,308449,3674.32,84.47
"57246","33318",2020,304179.01,3721.6,83.04
"57247","33318",2021,328071.12,4020.73,82.75
"57248","33318",2022,346194.83,4125.27,84.79
"57249","33318",2023,336074.7,4079.54,82.51
"57834","33449",2019,301966.26,3334.08,92.87
"57835","33449",2020,329908.99,3466.47,97.21
"57836","33449",2021,350633.77,3700.38,96.13
"57837","33449",2022,374776,3964.82,95.12
"57838","33449",2023,336860.1,3868.14,88.18
"58174","33522",2019,238766.19,3988.09,61.17
"58175","33522",2020,263157.32,4184.77,64.99
"58176","33522",2021,307942.71,4354.51,71.32
"58177","33522",2022,306361.8,4583.86,68.53
"58178","33522",2023,286958.5,4448.13,65.59
"58207","33529",2019,452697.34,4812.09,89.31
"58208","33529",2020,513462.63,5097.32,96.37
"58209","33529",2021,528432.12,5563.44,90.69
"58210","33529",2022,592900.96,6329.53,86.95
"58211","33529",2023,545677.67,5904.64,86.7
"58311","33550",2019,273962.06,3285.69,83.12
"58312","33550",2020,287365.98,3596.62,80.48
"58313","33550",2021,294236.79,3673.76,80.88
"58314","33550",2022,308439.23,3844.61,81.09
"58315","33550",2023,284123.97,3674.44,78.62
"58351","34003",2019,133530.49,3252.25,43.17
"58352","34003",2020,137716.8,3322.19,44.64
"58353","34003",2021,144047.67,3445.44,43.78
"58354","34003",2022,154774.71,3828.02,42.78
"58355","34003",2023,162554.67,4141.07,42.12
"58492","34032",2019,124995.46,1590.72,78.29
"58493","34032",2020,130324.07,1676.7,77.43
"58494","34032",2021,138315.12,1755.33,77.66
"58495","34032",2022,149786.75,1932.72,76.74
"58496","34032",2023,147749.37,1992.42,73.5
"58605","34057",2019,285329.7,3413.54,81.57
"58606","34057",2020,296386.68,3722.95,77.41
"58607","34057",2021,317730,3951.34,77.01
"58608","34057",2022,325693.62,4256.99,72.32
"58609","34057",2023,330530.67,4291.18,73.38
"58847","34108",2019,192842.68,2948.91,69.02
"58848","34108",2020,195240.98,3023.2,68.39
"58849","34108",2021,202876.62,3221,65.96
"58850","34108",2022,227263.89,3637.08,66.13
"58851","34108",2023,231977.86,3810.34,63.47
"59026","34145",2019,168494.77,2119.61,79.83
"59027","34145",2020,178017.09,2254.33,79.39
"59028","34145",2021,188492.43,2455.73,77.33
"59029","34145",2022,213747.16,2737.55,77.69
"59030","34145",2023,210039.86,2779.69,75.65
"59152","34172",2019,179806.56,2995.86,61.21
"59153","34172",2020,188183.01,3158.37,60.74
"59154","34172",2021,200763.79,3330.49,61.27
"59155","34172",2022,209748.34,3505.6,60.94
"59156","34172",2023,207953.24,3568.9,59.18
"59773","34301",2019,176564.21,2831.77,60.12
"59774","34301",2020,178970.51,2982.05,60.07
"59775","34301",2021,205741.35,3341.95,60.92
"59776","34301",2022,218738.96,3599.24,59.81
"59777","34301",2023,238534.44,3893.56,60.01
"60482","35115",2019,113388.32,1365.93,82.79
"60483","35115",2020,134874.82,1576.96,85.28
"60484","35115",2021,134419.98,1698.93,80.25
"60485","35115",2022,158983.61,1886.12,85.42
"60486","35115",2023,148588.99,1954.63,76.57
"61064","35238",2019,207138.16,3136.69,66.53
"61065","35238",2020,235993.58,3557.14,66.83
"61066","35238",2021,256750.14,3908.42,66.64
"61067","35238",2022,265144.53,4118.94,64.62
"61068","35238",2023,254654.47,4061.46,63.05
"61297","35288",2019,260223.94,3674.98,72.55
"61298","35288",2020,292235.91,3872.36,76.23
"61299","35288",2021,318348.45,4358.85,74.32
"61300","35288",2022,333960.56,4774.8,70.62
"61301","35288",2023,374935.77,4962.16,75.16
"61824","36044",2019,102782.91,1216.78,85.04
"61825","36044",2020,107975.35,1293.67,83.83
"61826","36044",2021,107399.2,1287.67,83.68
"61827","36044",2022,116667.51,1430.1,82.16
"61828","36044",2023,112782.63,1386.56,81.79
"63365","37122",2019,144552.21,1939.62,74.22
"63366","37122",2020,153647.78,2009.23,75.59
