Nombre de pièces,2010,%,2015,%,2021,%,code_insee,Ville
1 pièce,759,"7,9",667,"6,7",623,"6,0",22113,lannion
2 pièces,1 088,"11,4",1 429,"14,3",1 593,"15,3",22113,lannion
3 pièces,1 814,"19,0",1 800,"18,0",1 868,"18,0",22113,lannion
4 pièces,2 142,"22,4",2 071,"20,7",2 134,"20,5",22113,lannion
5 pièces ou plus,3 759,"39,3",4 024,"40,3",4 186,"40,2",22113,lannion
Ensemble,23 310,"100,0",22 858,"100,0",23 083,"100,0",22278,saint-brieuc
1 pièce,1 615,"6,9",1 702,"7,4",1 756,"7,6",22278,saint-brieuc
2 pièces,3 995,"17,1",3 573,"15,6",3 828,"16,6",22278,saint-brieuc
3 pièces,5 363,"23,0",5 468,"23,9",5 565,"24,1",22278,saint-brieuc
4 pièces,5 434,"23,3",5 154,"22,5",5 005,"21,7",22278,saint-brieuc
5 pièces ou plus,6 905,"29,6",6 962,"30,5",6 930,"30,0",22278,saint-brieuc
Ensemble,13 835,"100,0",14 198,"100,0",14 204,"100,0",24037,bergerac
1 pièce,674,"4,9",751,"5,3",530,"3,7",24037,bergerac
2 pièces,1 750,"12,6",1 947,"13,7",2 134,"15,0",24037,bergerac
3 pièces,3 141,"22,7",3 432,"24,2",3 620,"25,5",24037,bergerac
4 pièces,4 144,"30,0",4 005,"28,2",3 987,"28,1",24037,bergerac
5 pièces ou plus,4 126,"29,8",4 062,"28,6",3 932,"27,7",24037,bergerac
Ensemble,16 350,"100,0",16 735,"100,0",17 135,"100,0",24322,perigueux
1 pièce,1 393,"8,5",1 689,"10,1",1 688,"9,9",24322,perigueux
2 pièces,3 328,"20,4",3 407,"20,4",3 945,"23,0",24322,perigueux
3 pièces,4 451,"27,2",4 481,"26,8",4 521,"26,4",24322,perigueux
4 pièces,4 035,"24,7",3 919,"23,4",3 728,"21,8",24322,perigueux
5 pièces ou plus,3 143,"19,2",3 239,"19,4",3 252,"19,0",24322,perigueux
