"","X","Hiver","Printemps","Eté","Automne","code_insee","Ville"
"793","Heures d'ensoleillement","","","","","93066","saint-denis"
"794","Hauteur de pluie","221","180","205","230","93066","saint-denis"
"795","Heures d'ensoleillement","","","","","93070","saint-ouen-sur-seine"
"796","Hauteur de pluie","221","180","205","230","93070","saint-ouen-sur-seine"
"797","Heures d'ensoleillement","","","","","93071","sevran"
"798","Hauteur de pluie","221","180","205","230","93071","sevran"
"799","Heures d'ensoleillement","","","","","93072","stains"
"800","Hauteur de pluie","221","180","205","230","93072","stains"
"801","Heures d'ensoleillement","","","","","93073","tremblay-en-france"
"802","Hauteur de pluie","221","180","205","230","93073","tremblay-en-france"
"803","Heures d'ensoleillement","","","","","93077","villemomble"
"804","Hauteur de pluie","221","180","205","230","93077","villemomble"
"805","Heures d'ensoleillement","","","","","93078","villepinte"
"806","Hauteur de pluie","221","180","205","230","93078","villepinte"
"807","Heures d'ensoleillement","25","50","56","18","94002","alfortville"
"808","Hauteur de pluie","222","194","246","240","94002","alfortville"
"809","Heures d'ensoleillement","25","50","56","18","94003","arcueil"
"810","Hauteur de pluie","222","194","246","240","94003","arcueil"
"811","Heures d'ensoleillement","25","50","56","18","94016","cachan"
"812","Hauteur de pluie","222","194","246","240","94016","cachan"
"813","Heures d'ensoleillement","25","50","56","18","94017","champigny-sur-marne"
"814","Hauteur de pluie","222","194","246","240","94017","champigny-sur-marne"
"815","Heures d'ensoleillement","25","50","56","18","94018","charenton-le-pont"
"816","Hauteur de pluie","222","194","246","240","94018","charenton-le-pont"
"817","Heures d'ensoleillement","25","50","56","18","94021","chevilly-larue"
"818","Hauteur de pluie","222","194","246","240","94021","chevilly-larue"
"819","Heures d'ensoleillement","23","50","59","18","94022","choisy-le-roi"
"820","Hauteur de pluie","205","177","248","183","94022","choisy-le-roi"
"821","Heures d'ensoleillement","25","50","56","18","94028","creteil"
"822","Hauteur de pluie","222","194","246","240","94028","creteil"
"823","Heures d'ensoleillement","25","50","56","18","94033","fontenay-sous-bois"
"824","Hauteur de pluie","222","194","246","240","94033","fontenay-sous-bois"
"825","Heures d'ensoleillement","23","50","59","18","94034","fresnes"
"826","Hauteur de pluie","205","177","248","183","94034","fresnes"
"827","Heures d'ensoleillement","25","50","56","18","94038","l-hay-les-roses"
"828","Hauteur de pluie","222","194","246","240","94038","l-hay-les-roses"
"829","Heures d'ensoleillement","25","50","56","18","94041","ivry-sur-seine"
"830","Hauteur de pluie","222","194","246","240","94041","ivry-sur-seine"
