"","Type de ménages","2010","%1","2015","%2","2021","%3","code_insee","Ville"
"305","Familles monoparentales","3 232","14,0","3 197","13,8","3 338","14,4","27229","evreux"
"306","Ménages d'une personne","3 980","37,5","4 102","39,7","4 822","43,4","27681","vernon"
"307","Autres ménages sans famille","214","2,0","242","2,3","139","1,2","27681","vernon"
"308","Couples sans enfant","2 575","24,3","2 323","22,5","2 474","22,2","27681","vernon"
"309","Couples avec enfant(s)","2 793","26,3","2 592","25,1","2 541","22,9","27681","vernon"
"310","Familles monoparentales","1 043","9,8","1 082","10,5","1 143","10,3","27681","vernon"
"311","Ménages d'une personne","8 589","45,5","8 739","45,9","10 182","50,9","28085","chartres"
"312","Autres ménages sans famille","498","2,6","369","1,9","209","1,0","28085","chartres"
"313","Couples sans enfant","4 487","23,8","4 510","23,7","4 227","21,1","28085","chartres"
"314","Couples avec enfant(s)","3 561","18,9","3 397","17,8","3 216","16,1","28085","chartres"
"315","Familles monoparentales","1 730","9,2","2 036","10,7","2 175","10,9","28085","chartres"
"316","Ménages d'une personne","3 848","32,0","4 240","34,8","4 614","37,4","28134","dreux"
"317","Autres ménages sans famille","271","2,3","366","3,0","190","1,5","28134","dreux"
"318","Couples sans enfant","2 641","22,0","2 361","19,4","2 329","18,9","28134","dreux"
"319","Couples avec enfant(s)","3 663","30,5","3 585","29,5","3 686","29,8","28134","dreux"
"320","Familles monoparentales","1 587","13,2","1 615","13,3","1 531","12,4","28134","dreux"
"321","Ménages d'une personne","36 612","50,5","39 539","53,5","42 193","55,4","29019","brest"
"322","Autres ménages sans famille","2 246","3,1","2 641","3,6","2 815","3,7","29019","brest"
"323","Couples sans enfant","14 687","20,3","14 072","19,0","13 953","18,3","29019","brest"
"324","Couples avec enfant(s)","12 588","17,4","11 410","15,4","10 781","14,2","29019","brest"
"325","Familles monoparentales","6 370","8,8","6 263","8,5","6 353","8,3","29019","brest"
"326","Ménages d'une personne","4 159","43,8","4 592","46,3","5 236","47,4","29039","concarneau"
"327","Autres ménages sans famille","169","1,8","131","1,3","81","0,7","29039","concarneau"
"328","Couples sans enfant","2 440","25,7","2 599","26,2","3 048","27,6","29039","concarneau"
"329","Couples avec enfant(s)","1 867","19,6","1 730","17,4","1 712","15,5","29039","concarneau"
"330","Familles monoparentales","870","9,2","866","8,7","961","8,7","29039","concarneau"
"331","Ménages d'une personne","15 859","49,1","16 468","50,3","18 045","52,9","29232","quimper"
"332","Autres ménages sans famille","661","2,0","705","2,2","496","1,5","29232","quimper"
"333","Couples sans enfant","7 141","22,1","7 067","21,6","7 138","20,9","29232","quimper"
"334","Couples avec enfant(s)","5 932","18,4","5 665","17,3","5 428","15,9","29232","quimper"
"335","Familles monoparentales","2 688","8,3","2 866","8,7","3 015","8,8","29232","quimper"
"336","Ménages d'une personne","7 348","26,7","7 602","26,3","8 771","27,7","2A004","ajaccio"
"337","Autres ménages sans famille","1 590","5,8","1 504","5,2","900","2,8","2A004","ajaccio"
"338","Couples sans enfant","6 899","25,1","7 827","27,0","8 568","27,1","2A004","ajaccio"
"339","Couples avec enfant(s)","7 553","27,5","7 874","27,2","9 366","29,6","2A004","ajaccio"
"340","Familles monoparentales","4 099","14,9","4 149","14,3","4 031","12,7","2A004","ajaccio"
"341","Ménages d'une personne","5 301","28,8","5 813","29,9","4 769","22,7","2B033","bastia"
"342","Autres ménages sans famille","1 196","6,5","1 318","6,8","935","4,5","2B033","bastia"
"343","Couples sans enfant","4 495","24,4","4 635","23,8","6 376","30,4","2B033","bastia"
"344","Couples avec enfant(s)","4 892","26,6","4 856","25,0","5 269","25,1","2B033","bastia"
"345","Familles monoparentales","2 534","13,8","2 837","14,6","3 617","17,3","2B033","bastia"
"346","Ménages d'une personne","9 221","44,9","10 087","48,7","11 452","49,2","30007","ales"
"347","Autres ménages sans famille","394","1,9","405","2,0","395","1,7","30007","ales"
"348","Couples sans enfant","4 971","24,2","4 577","22,1","4 800","20,6","30007","ales"
"349","Couples avec enfant(s)","3 481","16,9","3 122","15,1","3 442","14,8","30007","ales"
"350","Familles monoparentales","2 480","12,1","2 502","12,1","3 198","13,7","30007","ales"
"351","Ménages d'une personne","28 392","43,0","31 715","44,7","33 929","47,7","30189","nimes"
"352","Autres ménages sans famille","1 876","2,8","2 285","3,2","1 151","1,6","30189","nimes"
"353","Couples sans enfant","14 466","21,9","15 236","21,5","14 809","20,8","30189","nimes"
"354","Couples avec enfant(s)","13 550","20,5","13 617","19,2","13 043","18,3","30189","nimes"
"355","Familles monoparentales","7 820","11,8","8 138","11,5","8 264","11,6","30189","nimes"
"356","Ménages d'une personne","4 138","39,8","4 564","40,2","5 964","45,2","31069","blagnac"
"357","Autres ménages sans famille","282","2,7","327","2,9","224","1,7","31069","blagnac"
"358","Couples sans enfant","2 517","24,2","2 753","24,2","2 943","22,3","31069","blagnac"
"359","Couples avec enfant(s)","2 351","22,6","2 397","21,1","2 716","20,6","31069","blagnac"
"360","Familles monoparentales","1 118","10,7","1 317","11,6","1 346","10,2","31069","blagnac"
"361","Ménages d'une personne","4 618","31,1","5 660","33,5","7 363","39,5","31149","colomiers"
"362","Autres ménages sans famille","298","2,0","374","2,2","293","1,6","31149","colomiers"
"363","Couples sans enfant","3 600","24,2","3 964","23,5","4 015","21,5","31149","colomiers"
"364","Couples avec enfant(s)","4 466","30,0","4 688","27,8","4 568","24,5","31149","colomiers"
"365","Familles monoparentales","1 884","12,7","2 203","13,0","2 396","12,9","31149","colomiers"
"366","Ménages d'une personne","2 145","31,3","2 334","31,4","3 100","34,7","31157","cugnaux"
"367","Autres ménages sans famille","189","2,8","158","2,1","175","2,0","31157","cugnaux"
"368","Couples sans enfant","1 906","27,8","1 889","25,4","2 086","23,4","31157","cugnaux"
"369","Couples avec enfant(s)","1 946","28,4","2 296","30,8","2 421","27,1","31157","cugnaux"
"370","Familles monoparentales","670","9,8","768","10,3","1 152","12,9","31157","cugnaux"
"371","Ménages d'une personne","3 565","34,7","3 943","35,9","4 630","41,2","31395","muret"
"372","Autres ménages sans famille","264","2,6","265","2,4","159","1,4","31395","muret"
"373","Couples sans enfant","2 655","25,8","2 806","25,5","2 736","24,3","31395","muret"
"374","Couples avec enfant(s)","2 662","25,9","2 709","24,7","2 434","21,7","31395","muret"
"375","Familles monoparentales","1 126","11,0","1 260","11,5","1 282","11,4","31395","muret"
"376","Ménages d'une personne","119 891","51,3","130 587","51,9","150 485","54,6","31555","toulouse"
"377","Autres ménages sans famille","13 873","5,9","14 706","5,8","12 863","4,7","31555","toulouse"
"378","Couples sans enfant","45 000","19,3","47 803","19,0","49 407","17,9","31555","toulouse"
"379","Couples avec enfant(s)","35 846","15,3","38 280","15,2","39 439","14,3","31555","toulouse"
"380","Familles monoparentales","18 960","8,1","20 421","8,1","23 494","8,5","31555","toulouse"
"381","Ménages d'une personne","2 578","25,4","3 195","28,8","4 516","33,8","31557","tournefeuille"
"382","Autres ménages sans famille","214","2,1","226","2,0","198","1,5","31557","tournefeuille"
"383","Couples sans enfant","2 795","27,5","3 105","27,9","3 657","27,4","31557","tournefeuille"
"384","Couples avec enfant(s)","3 582","35,3","3 532","31,8","3 685","27,6","31557","tournefeuille"
"385","Familles monoparentales","990","9,7","1 053","9,5","1 315","9,8","31557","tournefeuille"
"386","Ménages d'une personne","5 314","47,1","5 676","49,7","6 503","52,8","32013","auch"
"387","Autres ménages sans famille","291","2,6","303","2,7","134","1,1","32013","auch"
"388","Couples sans enfant","2 956","26,2","2 707","23,7","2 785","22,6","32013","auch"
"389","Couples avec enfant(s)","1 650","14,6","1 662","14,6","1 755","14,3","32013","auch"
"390","Familles monoparentales","1 063","9,4","1 066","9,3","1 133","9,2","32013","auch"
"391","Ménages d'une personne","4 236","36,6","4 668","37,2","6 082","41,1","33039","begles"
"392","Autres ménages sans famille","324","2,8","439","3,5","415","2,8","33039","begles"
"393","Couples sans enfant","3 013","26,0","2 828","22,6","3 352","22,6","33039","begles"
"394","Couples avec enfant(s)","2 711","23,4","2 947","23,5","3 243","21,9","33039","begles"
"395","Familles monoparentales","1 297","11,2","1 652","13,2","1 715","11,6","33039","begles"
"396","Ménages d'une personne","70 513","53,9","73 501","54,0","79 643","54,8","33063","bordeaux"
"397","Autres ménages sans famille","7 249","5,5","7 534","5,5","5 896","4,1","33063","bordeaux"
"398","Couples sans enfant","23 790","18,2","24 500","18,0","26 698","18,4","33063","bordeaux"
"399","Couples avec enfant(s)","19 009","14,5","20 402","15,0","21 649","14,9","33063","bordeaux"
"400","Familles monoparentales","10 186","7,8","10 267","7,5","11 384","7,8","33063","bordeaux"
"401","Ménages d'une personne","4 560","40,8","4 653","40,9","5 096","42,9","33069","le-bouscat"
"402","Autres ménages sans famille","275","2,5","205","1,8","182","1,5","33069","le-bouscat"
"403","Couples sans enfant","2 730","24,4","2 714","23,8","2 654","22,3","33069","le-bouscat"
"404","Couples avec enfant(s)","2 491","22,3","2 583","22,7","2 606","21,9","33069","le-bouscat"
"405","Familles monoparentales","1 122","10,0","1 231","10,8","1 349","11,3","33069","le-bouscat"
"406","Ménages d'une personne","1 915","29,9","2 603","32,4","3 792","39,8","33075","bruges"
"407","Autres ménages sans famille","152","2,4","164","2,0","167","1,8","33075","bruges"
"408","Couples sans enfant","1 803","28,1","2 003","24,9","2 095","22,0","33075","bruges"
"409","Couples avec enfant(s)","1 965","30,7","2 309","28,7","2 359","24,8","33075","bruges"
"410","Familles monoparentales","573","8,9","965","12,0","1 116","11,7","33075","bruges"
"411","Ménages d'une personne","3 425","35,9","4 267","39,0","5 922","46,0","33119","cenon"
"412","Autres ménages sans famille","285","3,0","330","3,0","357","2,8","33119","cenon"
"413","Couples sans enfant","2 111","22,1","2 200","20,1","2 526","19,6","33119","cenon"
"414","Couples avec enfant(s)","2 474","26,0","2 600","23,8","2 659","20,7","33119","cenon"
"415","Familles monoparentales","1 238","13,0","1 530","14,0","1 409","10,9","33119","cenon"
"416","Ménages d'une personne","2 489","30,5","3 263","32,8","4 387","39,6","33162","eysines"
"417","Autres ménages sans famille","121","1,5","217","2,2","141","1,3","33162","eysines"
"418","Couples sans enfant","2 223","27,2","2 514","25,3","2 522","22,7","33162","eysines"
"419","Couples avec enfant(s)","2 485","30,5","2 661","26,8","2 790","25,2","33162","eysines"
"420","Familles monoparentales","843","10,3","1 280","12,9","1 250","11,3","33162","eysines"
"421","Ménages d'une personne","3 993","38,7","4 781","41,2","5 631","45,4","33192","gradignan"
"422","Autres ménages sans famille","232","2,2","334","2,9","208","1,7","33192","gradignan"
"423","Couples sans enfant","3 087","29,9","3 014","26,0","2 956","23,8","33192","gradignan"
"424","Couples avec enfant(s)","2 197","21,3","2 517","21,7","2 423","19,5","33192","gradignan"
"425","Familles monoparentales","822","8,0","945","8,2","1 186","9,6","33192","gradignan"
"426","Ménages d'une personne","2 348","27,5","2 905","30,5","3 859","35,3","33199","gujan-mestras"
"427","Autres ménages sans famille","225","2,6","171","1,8","101","0,9","33199","gujan-mestras"
"428","Couples sans enfant","3 087","36,2","3 426","35,9","3 609","33,0","33199","gujan-mestras"
"429","Couples avec enfant(s)","2 175","25,5","2 264","23,7","2 209","20,2","33199","gujan-mestras"
"430","Familles monoparentales","698","8,2","770","8,1","1 154","10,6","33199","gujan-mestras"
"431","Ménages d'une personne","4 998","43,2","5 378","44,8","5 840","48,5","33243","libourne"
"432","Autres ménages sans famille","255","2,2","266","2,2","185","1,5","33243","libourne"
"433","Couples sans enfant","2 870","24,8","2 560","21,3","2 641","21,9","33243","libourne"
"434","Couples avec enfant(s)","2 125","18,4","2 303","19,2","2 025","16,8","33243","libourne"
"435","Familles monoparentales","1 329","11,5","1 491","12,4","1 361","11,3","33243","libourne"
"436","Ménages d'une personne","2 763","33,9","3 350","36,4","4 297","40,5","33249","lormont"
"437","Autres ménages sans famille","309","3,8","240","2,6","211","2,0","33249","lormont"
"438","Couples sans enfant","1 741","21,4","1 812","19,7","1 924","18,1","33249","lormont"
"439","Couples avec enfant(s)","2 245","27,6","2 473","26,8","2 588","24,4","33249","lormont"
"440","Familles monoparentales","1 084","13,3","1 336","14,5","1 599","15,1","33249","lormont"
"441","Ménages d'une personne","12 757","40,5","14 220","41,7","17 000","45,0","33281","merignac"
"442","Autres ménages sans famille","912","2,9","1 025","3,0","847","2,2","33281","merignac"
"443","Couples sans enfant","7 457","23,7","7 997","23,5","8 360","22,1","33281","merignac"
"444","Couples avec enfant(s)","7 079","22,5","7 351","21,6","7 764","20,5","33281","merignac"
"445","Familles monoparentales","3 257","10,4","3 471","10,2","3 834","10,1","33281","merignac"
"446","Ménages d'une personne","8 927","35,6","11 280","39,9","14 251","44,7","33318","pessac"
"447","Autres ménages sans famille","796","3,2","932","3,3","1 077","3,4","33318","pessac"
"448","Couples sans enfant","6 490","25,9","6 601","23,3","6 582","20,7","33318","pessac"
"449","Couples avec enfant(s)","6 422","25,6","6 781","24,0","7 008","22,0","33318","pessac"
"450","Familles monoparentales","2 463","9,8","2 700","9,5","2 946","9,2","33318","pessac"
"451","Ménages d'une personne","2 510","22,6","3 257","25,5","4 137","29,7","33449","saint-medard-en-jalles"
"452","Autres ménages sans famille","209","1,9","237","1,9","143","1,0","33449","saint-medard-en-jalles"
"453","Couples sans enfant","3 552","32,0","3 890","30,5","3 851","27,6","33449","saint-medard-en-jalles"
"454","Couples avec enfant(s)","3 911","35,2","4 037","31,6","4 345","31,1","33449","saint-medard-en-jalles"
"455","Familles monoparentales","922","8,3","1 347","10,5","1 476","10,6","33449","saint-medard-en-jalles"
"456","Ménages d'une personne","11 951","53,9","12 921","55,5","13 784","55,4","33522","talence"
"457","Autres ménages sans famille","1 193","5,4","1 199","5,1","1 199","4,8","33522","talence"
